,0
0,Colorado
1,Florida
2,Georgia
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,New Jersey
22,New Mexico
23,New York
24,North Carolina
25,North Dakota
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Utah
34,Vermont
35,Virginia
36,Washington
37,West Virginia
38,Wisconsin
39,Wyoming
